,index,close,predictions,%error,Inc/Dec
0,0,0.780119895,0.7732207,0.892267178,1
1,1,0.826745096,0.7581539,9.047133548,1
2,2,0.801935295,0.80308616,0.143305332,-1
3,3,0.8253069,0.79261255,4.12488422,1
4,4,0.823939456,0.81806535,0.718048505,1
5,5,0.897359001,0.81220365,10.48448266,1
6,6,0.885299435,0.86060345,2.869612612,1
7,7,0.896665915,0.8798732,1.908538034,1
8,8,0.904784925,0.8706811,3.916913383,1
9,9,0.943208013,0.8882236,6.190379627,1
10,10,0.972951715,0.8646257,12.52866009,1
11,11,0.907948485,0.86909664,4.470371151,1
12,12,0.88186401,0.86912936,1.465219156,1
13,13,0.893916393,0.8287151,7.86775733,1
14,14,0.885963724,0.81645775,8.513113369,1
15,15,0.922205655,0.8397988,9.812690221,1
16,16,0.876219368,0.836579,4.738389097,1
17,17,0.843888323,0.8264813,2.106160543,1
18,18,0.880658879,0.8215561,7.194004032,1
19,19,0.908254249,0.84582734,7.380573549,1
20,20,0.902426418,0.85315764,5.774873869,1
21,21,0.892633395,0.8952868,0.296374882,-1
22,22,0.887227994,0.87763345,1.093229031,1
23,23,0.925411908,0.8597149,7.641720346,1
24,24,0.921006565,0.8477422,8.642293051,1
25,25,0.894923634,0.9020603,0.791151815,-1
26,26,0.889311951,0.8650116,2.809251479,1
27,27,0.896216768,0.8619868,3.971054773,1
28,28,0.927140429,0.8556746,8.351986668,1
29,29,1.0,0.8496921,17.68969018,1
30,30,0.989775216,0.8402183,17.79976898,1
31,31,0.955808354,0.8463696,12.93037387,1
32,32,0.955030419,0.86029994,11.01133157,1
33,33,0.941385582,0.86024153,9.432705723,1
34,34,0.946774403,0.8542181,10.8352074,1
35,35,0.96391273,0.851797,13.16225929,1
36,36,0.931108037,0.85190344,9.297367855,1
37,37,0.872738699,0.8455821,3.211586346,1
38,38,0.876291865,0.8542725,2.577557545,1
39,39,0.817419881,0.8482975,3.639951663,-1
40,40,0.837653635,0.7904587,5.970575695,1
41,41,0.864764214,0.8170946,5.834038535,1
42,42,0.848151626,0.8624178,1.654206869,-1
43,43,0.806201014,0.8386414,3.868207107,-1
44,44,0.828193495,0.8275048,0.083225495,1
45,45,0.806048703,0.8181027,1.473408826,-1
46,46,0.823134469,0.8254461,0.280046255,-1
47,47,0.759467335,0.86615396,12.31728188,-1
48,48,0.780867421,0.80118036,2.535376589,-1
49,49,0.822683846,0.77656114,5.939352773,1
50,50,0.832274682,0.80055374,3.962375082,1
51,51,0.818507473,0.8683089,5.735450531,-1
52,52,0.822363717,0.8222971,0.008101327,1
53,53,0.809440764,0.7913661,2.283982577,1
54,54,0.759956758,0.81231844,6.445955094,-1
55,55,0.684387136,0.7746874,11.65634866,-1
56,56,0.687276617,0.6712689,2.384695179,1
57,57,0.708134786,0.69563466,1.796938406,1
58,58,0.710153295,0.67415726,5.339412211,1
59,59,0.706797348,0.6826681,3.534550414,1
60,60,0.658119202,0.6897477,4.585516994,-1
61,61,0.650750202,0.6525583,0.277078378,-1
62,62,0.68716767,0.6141045,11.89751418,1
63,63,0.699812516,0.6502198,7.62706949,1
64,64,0.642057861,0.6714341,4.375148574,-1
65,65,0.639912415,0.6511089,1.719602556,-1
66,66,0.67916338,0.6362236,6.749164943,1
67,67,0.658004146,0.6885664,4.438533984,-1
68,68,0.632858375,0.6512524,2.824408077,-1
69,69,0.643970443,0.64194787,0.315068082,1
70,70,0.641534337,0.6578183,2.475449964,-1
71,71,0.644511755,0.6468573,0.362606263,-1
72,72,0.679848881,0.64988774,4.610202529,1
